"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"TO-252-2";1;"L7805";;;
2;"J2";"Wurth-694106402002";1;"Power_inlet_vertical";;;
3;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
4;"DS1,DS2";"Adafruit-1001-0-0-MFG";2;"LED_Display_1001";;;
5;"SW3,SW4,SW2,SW1";"SW_SPST_Omron_B3FS-100xP";4;"Omron_B3F_SPST";;;
6;"C4,C3";"C_0805_2012Metric";2;"C_0805_22pf";;;
7;"C2,C7,C6,C1";"C_0805_2012Metric";4;"C_0805_0.1uf";;;
8;"J1";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07";;;
9;"Y1";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
10;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
11;"U4";"DIP-24_W7.62mm";1;"MAX7219";;;
12;"R2,R4,R3,R1";"R_0805_2012Metric";4;"R_0805_10K";;;
13;"R6";"R_LDR_4.9x4.2mm_P2.54mm_Vertical";1;"PhotoconductivePhotocell";;;
14;"R5,R9,R8,R12,R7";"R_0805_2012Metric";5;"R_0805_1K";;;
15;"C5";"C_0805_2012Metric";1;"C_0805_1uf";;;
16;"R13";"R_0805_2012Metric";1;"R_0805_2.2K";;;
17;"U1";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
18;"Y2";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
19;"R11,R10";"R_0805_2012Metric";2;"R_0805_4.7K";;;
20;"U3";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
21;"D1";"LED_0805_2012Metric";1;"LED_0805_GRN";;;
22;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
